PlotID,Variety,Yield
1,Standard,1.381462961
2,Standard,2.52897581
3,Standard,0.555021371
4,Standard,2.075639964
5,Standard,1.457064966
6,Standard,2.600573698
7,Standard,0.215403997
8,Standard,3.55514266
9,Standard,3.404458881
10,Standard,3.129401776
11,Standard,1.790085548
12,Standard,3.102762192
13,Standard,2.084447427
14,Standard,0.603490472
15,Standard,2.491768421
16,Standard,2.247881967
17,Standard,1.174611325
18,Standard,2.503188058
19,Standard,0.956696238
20,Standard,1.176025813
21,Standard,3.792659746
22,Standard,1.718741044
23,Standard,2.347701338
24,Standard,1.717090001
25,Standard,2.463872405
26,Standard,3.661832386
27,Standard,3.13167334
28,Standard,1.869638214
29,Standard,0.6809526
30,Standard,2.808912458
31,Standard,1.962185893
32,Standard,2.618792542
33,Standard,2.697991913
34,Standard,1.393439905
35,Standard,0.323207588
36,Standard,2.758892917
37,Standard,2.793869999
38,Standard,3.257698954
39,Standard,2.725070921
40,Standard,1.465956447
41,Standard,3.420528397
42,Standard,2.75288182
43,Standard,2.366580648
44,Standard,0.883788669
45,Standard,3.256608863
46,Standard,1.690373187
47,Standard,1.355326232
48,Standard,3.500716163
49,Standard,1.682634016
50,Standard,3.970984762
51,New,2.972091313
52,New,2.954606365
53,New,4.013644493
54,New,4.062358563
55,New,2.647009581
56,New,3.284704575
57,New,3.33198665
58,New,4.136708105
59,New,1.847996385
60,New,2.415977719
61,New,3.291042191
62,New,2.260364413
63,New,3.474447956
64,New,4.508450337
65,New,3.24693541
66,New,2.936712234
67,New,4.53509262
68,New,3.44235618
69,New,3.209451796
70,New,4.354821265
71,New,1.517573711
72,New,2.888857978
73,New,4.100294075
74,New,4.018951071
75,New,3.353780193
76,New,3.932862691
77,New,3.035972742
78,New,2.68214651
79,New,3.768458147
80,New,3.009265417
81,New,1.875974996
82,New,2.270403853
83,New,1.84446061
84,New,3.089843966
85,New,3.113326514
86,New,3.911097659
87,New,1.244386594
88,New,2.945883015
89,New,4.165822519
90,New,3.082607442
91,New,1.584473471
92,New,3.71704038
93,New,1.39832693
94,New,1.146125397
95,New,2.156656245
96,New,3.796229991
97,New,3.376544752
98,New,2.770252082
99,New,5.029421189
100,New,4.222352344
101,NewPLUS,1.334163722
102,NewPLUS,1.959056185
103,NewPLUS,1.424346783
104,NewPLUS,3.721706921
105,NewPLUS,2.543600155
106,NewPLUS,3.122411341
107,NewPLUS,3.516505412
108,NewPLUS,4.068133552
109,NewPLUS,4.604762069
110,NewPLUS,4.346379477
111,NewPLUS,1.884348348
112,NewPLUS,3.146167003
113,NewPLUS,4.631047947
114,NewPLUS,2.310734115
115,NewPLUS,2.389676264
116,NewPLUS,2.775368058
117,NewPLUS,0.958011324
118,NewPLUS,4.709765658
119,NewPLUS,3.411670548
120,NewPLUS,5.77994841
121,NewPLUS,3.060366234
122,NewPLUS,3.831079104
123,NewPLUS,4.384560579
124,NewPLUS,3.730953758
125,NewPLUS,2.742273794
126,NewPLUS,2.287072902
127,NewPLUS,3.662276934
128,NewPLUS,2.19903664
129,NewPLUS,1.775943733
130,NewPLUS,3.225088833
131,NewPLUS,2.687815854
132,NewPLUS,4.622966809
133,NewPLUS,2.843567868
134,NewPLUS,2.942003763
135,NewPLUS,4.093319862
136,NewPLUS,1.205423276
137,NewPLUS,2.926437014
138,NewPLUS,1.866298502
139,NewPLUS,2.329551123
140,NewPLUS,2.728971321
141,NewPLUS,4.237108109
142,NewPLUS,3.115723752
143,NewPLUS,4.029099061
144,NewPLUS,2.848728068
145,NewPLUS,3.769683459
146,NewPLUS,4.995504502
147,NewPLUS,3.186075678
148,NewPLUS,3.409365788
149,NewPLUS,4.863422956
150,NewPLUS,3.01615459